"kelime","anlam"
"âşure","bir çok meyve ve hububat karıştırılarak pişirilen tatlı; derleme, karışık"
"bedel","karşılık"
"bidayet","başlangıç"
"cümle-i âliye","yüce cümle, âyet"
"fehm","anlama, kavrama, anlayış"
"hakikat","gerçek"
"îcâz-ı i’câzî","Kur'ân'ın mu’cizeliğini gösteren vecizliği, özlü söz şeklindeki ifade tarzı"
"ifade","anlatma, anlatım"
"ihsas","hissettirme"
"ihtiyar etme","seçme, tercih etme"
"imâen","kapalı bir mânâyı işaret yoluyla göstererek"
"israf","ihtiyaç fazlası tüketim, savurganlık"
"itnâb","sözü uzatma; herhangi bir fayda için, maksat ve gayeyi alışılagelmiş sözden daha uzun bir söz ile ifade etme"
"menar etme","ışık tutma, aydınlatıcı fener ve lâmba yapma"
"min-i teb’îz","“bazısı”, “bir kısmı” mânâsını veren “…den, …dan” eki"
"neşretmek","yaymak"
"nükât-ı hüsnünü ihsan etme","güzelliğinin ince mânâlarını gösterme, onu gösterme lûtfunda bulunma"
"perakende","farklı farklı, parça parça"
"risale","küçük çaplı kitap, mektup; Risale-i Nur’da yer alan bölümlerden her birisi"
"sadaka","Allah rızası için ihtiyaç sahibi kişilere yapılan yardım"
"saded","asıl mevzu, konu, asıl bahsedilen şey"
"şerait-i makbuliyet","kabul şartları, kabul edilme şartları"
"tasadduk","sadaka verme"
"tefsir","açıklama, yorum; Kur’ân-ı Kerimi açıklayan, yorumlayan kitap"
"teyid etme","doğrulayıp destekleme, kuvvetlendirme"
"zelzele","deprem"
"zeyl","ek, ilâve"
"alâmet etme","gösterme, işaret etme, delil olarak gösterme"
"ayar etme","ölçü yapma, ölçü alma"
"emâre etme","işaret etme, gösterme"
"hâcât-ı zaruriye","zorunlu temel ihtiyaçlar, yiyecek, içecek ve giyecek gibi"
"hasr","sınırlandırma, ait kılma; bir hükmün yalnızca birşeye, veya bir şahsa verilmesi"
"hasretmek","birşeyle sınırlandırmak, birşeye özgü kılmak"
"havf-ı fakr","fakirlik korkusu"
"ıtlak","mutlak olma; teklik, çokluk veya nitelik gibi şeylere bakılmaksızın kullanıldığı mânânın bütün fertlerine delâlet eden lâfız"
"ima","gizli ve ince bir mânâyı işaret etme, gösterme"
"işareten","işaret ederek"
"lâfz","ifade, söz"
"makam-ı hıtâbi","hitab etme, seslenme makamı"
"mâlik","sahip; herşeyin hakiki sahibi olan Allah"
"medar etme","dayandırma, dayanak noktası olarak alma"
"minnet etmeme","yapılan iyilikleri sayarak başa kakmama"
"nafaka","geçim için gerekli olan şey"
"nun-u azamet","“رَزَقْنَا=Rızıklandırdık” ifadesindeki Cenâb-ı Hakkı ve Onun yüceliğini gösteren “نَا=Biz” zamiri"
"remz","gizli bir mânâyı ince bir işaretle gösterme"
"remzen","işaret ederek"
"rıza-i kalb","kalb hoşnutluğu"
"sadaka","Allah rızası için ihtiyaç sahibi kişilere yapılan yardım"
"sarf etme","kullanma, harcama"
"sefahat","gayrı meşru zevk ve eğlenceye düşkünlük"
"şart-ı kemâl","mükemmellik, olgunluk şartı"
"ta’mim","umumileştirme, genelleme; sayısız şeyleri içine alan, aynı cinsten bir çok ferde birden delâlet eden lâfız"
"takdim","bir maksat için sıraya uymayarak birşeyi öne geçirme, öne alma"
"tasadduk","sadaka verme"
"telmîhan","telmih sûretiyle, imalı olarak"
"telvihan","işaretle, işaretle göstererek"
"tıyb-ı nefis","nefsin rıza ile güzelce kabul etmesi, nefsin rıza ve hoşnutluğu"
"umum","bütün, genel olma"
"vasıta","araç"
"ahlâk-ı rezile","kötü ahlâk, ahlâkça aşağılık"
"âlem-i insan","insanlık dünyası"
"âlî","yüce, yüksek"
"azîm","büyük"
"beşerin hayat-ı nev’iyesi","insan türünün hayatı"
"cemiyet-i beşeriye","insan topluluğu"
"cereyan","akma, dolaşma"
"davet-i Kur’ânî","Kur'ân'ın daveti, çağrısı"
"deva","çare, ilâç, şifa"
"fesad","bozgunculuk"
"hadis","Peygamber Efendimizin (a.s.m.) mübarek sözü"
"heyet-i içtimaiye","toplumsal yapı, sosyal bünye"
"hikmet","gaye, fayda, maksat"
"hurmet-i şedide","şiddetli yasaklama"
"ırk","kök, soy"
"ihtilâlât","bozukluklar, karışıklıklar, ayaklanmalar"
"imtizac","bileşim, karışım"
"izdivac","bir araya gelme, birbirine yaklaşma; evlenme"
"kabile","yakın tür, benzer"
"karz-ı hasen","sadece Allah rızası için verilen ödünç, faizsiz verilen borç"
"kelime-i gaddare","kahredici, öldürücü, zâlim ve merhametsiz söz"
"kıyameti kopma","büyük yıkım ve belâya uğrama"
"küre-i arz","yerküre, dünya"
"madde-i hayat","hayat maddesi; kan gibi"
"maden","kaynak"
"mahrek","hareket yeri, hareket alanı"
"maslahat","fayda, gaye"
"me’mûrü’n-bih","yapılması emredilen şey"
"medenî","kibar, edepli, terbiyeli; uygar, şehirli"
"menba","kaynak"
"mesavi","kötülükler, fenalıklar, ayıplar, kusurlar"
"muavenet","yardım"
"mükemmil","ikmal edici; kemâle, olgunluğa ulaştırıcı"
"mütemmim","tamamlayan, tamamlayıcı"
"nazar","bakış, görüş"
"nefisperest","nefsini seven, nefsinin arzularına düşkün"
"nev-i beşer","insan türü"
"nizam","düzen"
"rabıta","bağ"
"rahmet","merhamet, şefkat, ihsan"
"ribânın vesâili","faizin vesileleri; faizin araç ve vasıtaları"
"rükn-ü mühim","mühim bir rükün, esas, önemli şart"
"sadaka","Allah rızası için ihtiyaç sahibi kişilere yapılan yardım"
"sadakât","sadakalar; Allah rızası için ihtiyaç sahibi kişilere yapılan yardımlar"
"sahife-i âlem","kâinat sayfası"
"sırâtu’l-müstakîm","dosdoğru yol"
"teavün","yardımlaşma, dayanışma"
"teftiş","inceleme, araştırma"
"terakkiyat-ı beşer","insanlığa ait kalkınmalar, yükselmeler, ilerlemeler"
"tiryak","güçlü ilâç"
"vâsi","geniş"
"vücub-u kat’î","kesin zorunluluk; kesin ve şüphesiz farz oluş"
"zekât","İslâmiyete göre zengin olan bir yükümlünün, her yıl belirli mallardan belirli bir miktarını belirli kimselere (fakirlere ve saireye) vermesi"
"acz","âcizlik, güçsüzlük"
"âlem-i medenî","medenî dünya"
"avam","halk tabakası, sıradan insanlar"
"bedel","karşılık"
"beşer","insanlık"
"dâhiye-i dehyâ","çok büyük belâ, musibet ve felâket"
"deva","ilâç, çare"
"düstur","kâide, kural"
"enîn","inleme"
"esaret","esirlik, kölelik"
"fakr","fakirlik, ihtiyaç hali"
"feryad","bağırıp çağırma"
"fesat","bozgunculuk, karışıklık"
"fukara","fakirler, yoksullar"
"gasp","zorla almak; başkasına ait birşeyi zorla, rızası olmadan almak"
"hâlet-i ruhiye","ruh hâli, psikolojik durum"
"haris","aç gözlü, çok hırslı"
"haset","kıskançlık"
"havas","seçkinler sınıfı; zenginler, aydınlar"
"hayat-ı içtimaiye","toplum hayatı, sosyal hayat"
"hayt-ı vasıl","birleştirici bağ, irtibat bağı"
"herc ü merc ateşi","karma karışık yapan, yıkıp yakan, alt üst eden ateş"
"heyet-i içtimaiye","sosyal yapı, sosyal kurum"
"hodgâm","kendi keyfini düşünen, bencil"
"hurmet-i ribâ","faizin haram olması, yasaklanması"
"ihsan","bağış, ikram, lütuf"
"ihtilâl","ayaklanma, başkaldırma"
"ihtiram","hürmet etme, saygı gösterme"
"inhisar","tekelleşme, bir iş veya malın bir kişinin idare ve tekeline bırakılması"
"intizam","disiplin, düzenlilik"
"kalil","az"
"mevt","ölüm"
"meziyet","üstün özellik"
"ra’d","gök gürültüsü"
"ref etmek","ortadan kaldırmak"
"ribâ","faiz"
"sâika","yıldırım"
"sayha","ses, nida, haykırış"
"sebeb-i tevazu","tevazu sebebi, alçakgönüllülük sebebi"
"sed (detme)","engel olma, tıkama, kapama"
"seda","ses"
"sefalet","perişanlık, yoksulluk"
"sıla-i rahim","akrabalık bağı, yakınlarla bağ kurma"
"şahit","delil, tanık"
"tabaka-ı avam","halk tabakası"
"tabaka-i süflâ","alt tabaka; fakir ve sosyal statüsü düşük tabaka"
"tabakat-ı beşer","insan tabakaları, insan sınıfları"
"tabaka-yı havas","seçkinler tabakası, aydınlar sınıfı"
"tabaka-yı ulyâ","yüksek tabaka; zengin, aydın ve sosyal statüsü yüksek tabaka; zenginler, yöneticiler ve saire"
"tahabbüb","sevgi besleme, sevgi duyma"
"tahakküm","baskı, zorbalık"
"tahkir","aşağılama, hakaret etme, küçümseme"
"taife-i ağniya","zenginler sınıfı, topluluğu"
"taife-i fukara","fakirler sınıfı, yoksullar grubu"
"taltif","iyilik ve lütufta bulunmak"
"tekebbür","kibirlenme, büyüklenme"
"temellük","mülk edinme, mülke sahip olma"
"terahhüm","şefkat ve merhamet gösterme"
"terakkiyat","yükselmeler, ilerlemeler, gelişmeler"
"tevzi edilmek","dağıtılmak"
"velvele","gürültü, patırtı, şamata"
"vesail","vesileler; vasıta ve araçlar"
"zekât","İslâmiyete göre zengin olan bir yükümlünün, her yıl belirli mallardan belirli bir miktarını belirli kimselere (fakirlere ve saireye) vermesi"
"adalet-i Kur’âniye","Kur’ân’ın adaleti"
"âlem","dünya"
"âli","yüce, yüksek"
"çare-i yegâne","tek çare"
"düstur","kâide, kural"
"elhasıl","kısaca, özetle"
"erkân-ı İslâmiyet","İslâmiyetin rükünleri, esasları, şartları"
"heyet-i içtimaiye","toplumsal heyet, toplumu oluşturan bireyler"
"ilâ âhir","sonuna kadar"
"ilga","kaldırma, hükümsüz bırakma"
"ittihaz","edinme, kabul etme"
"kebîre","büyük günah; şeriatın özellikle sakındırdığı ve karşılığında ceza koyduğu herşey; adam öldürme ve faiz alıp vermek gibi"
"ribâ","faiz"
"rumuzu tavazzuh etme","alâmetlerin belirmesi, işaret ettiği şeylerin açıkça ortaya çıkması"
"tabakat","tabakalar, dereceler"
"tabakatın musalâhası","toplumsal sınıfların barışı, barış içinde olması"
"tedvir","çekip çevirme, idare etme"
"vâsi","geniş"
"vesâil","vesileler, sebepler"
"zekât","İslâmiyete göre zengin olan bir yükümlünün, her yıl belirli mallardan belirli bir miktarını belirli kimselere (fakirlere ve saireye) vermesi"
"âhir","son"
"âlâm","elemler, acılar"
"âlem-i misâl","bütün varlıkların ve olayların görüntülerinin yansıdığı madde ötesi âlem"
"âyine","ayna"
"eltaf","çok lâtif, ince, nurânî"
"ene","ben, benlik"
"esir","kâinatı kapladığına inanılan ince ve lâtif madde"
"eşeff","çok parlak, çok şeffaf, saydam"
"fihriste","içindekiler"
"hasenat","sevaplar, güzellikler, iyilikler"
"hâsiyet","özellik, nitelik; bir türe veya ferde ait sıfat, özellik; meselâ, insanlarda gülme, kambur olma, saçı ağarmış olma gibi"
"haşiye","dipnot, açıklayıcı not"
"hayy-ı nâtık","konuşan canlı"
"hüviyet","zihin dışında gerçekliği (hakikati) bulunan bir kavramı, temel nitelikleriyle ortaya koyup diğerlerinden ayırma; meselâ “Ahmet Boğaziçi Üniversitesinde öğrencidir” cümlesinde “Boğaziçi” kelimesi Ahmet’i diğer üniversite öğrencilerinden ayırarak onun hüviyetini gösterir"
"ilâ âhir","sonuna kadar"
"in’ikâs","yansıma"
"inhilâl","çözülme, dağılma"
"istinsah","yazarak çoğaltma, nüsha çıkarma, kopya etme (Allah’ın sonsuz kudretiyle varlıkları tekrar tekrar yaratması)"
"kalem-i kudret","Allah’ın kudret kalemi"
"kıyamet","varlığın bozulup dağılması; varlık âleminde her tür ve fertte meydana gelen değişimler, yıkılıp yok olmalar"
"kudret","güç, iktidar"
"lezzat","lezzetler, tatlar"
"libas","elbise"
"mahiyet (mant.)","tümel (küllî) bir kavramın yalnız zihindeki fertlerinin dikkate alınması durumu, birşeyin tasavvuru, “ne olduğu”; öğrenci kavramı gibi…"
"âhir","son"
"âlâm","elemler, acılar"
"âlem-i misâl","bütün varlıkların ve olayların görüntülerinin yansıdığı madde ötesi âlem"
"âyine","ayna"
"eltaf","çok lâtif, ince, nurânî"
"ene","ben, benlik"
"esir","kâinatı kapladığına inanılan ince ve lâtif madde"
"eşeff","çok parlak, çok şeffaf, saydam"
"fihriste","içindekiler"
"hasenat","sevaplar, güzellikler, iyilikler"
"hâsiyet","özellik, nitelik; bir türe veya ferde ait sıfat, özellik; meselâ, insanlarda gülme, kambur olma, saçı ağarmış olma gibi"
"haşiye","dipnot, açıklayıcı not"
"hayy-ı nâtık","konuşan canlı"
"hüviyet","zihin dışında gerçekliği (hakikati) bulunan bir kavramı, temel nitelikleriyle ortaya koyup diğerlerinden ayırma; meselâ “Ahmet Boğaziçi Üniversitesinde öğrencidir” cümlesinde “Boğaziçi” kelimesi Ahmet’i diğer üniversite öğrencilerinden ayırarak onun hüviyetini gösterir"
"ilâ âhir","sonuna kadar"
"in’ikâs","yansıma"
"inhilâl","çözülme, dağılma"
"istinsah","yazarak çoğaltma, nüsha çıkarma, kopya etme (Allah’ın sonsuz kudretiyle varlıkları tekrar tekrar yaratması)"
"kalem-i kudret","Allah’ın kudret kalemi"
"kıyamet","varlığın bozulup dağılması; varlık âleminde her tür ve fertte meydana gelen değişimler, yıkılıp yok olmalar"
"kudret","güç, iktidar"
"lezzat","lezzetler, tatlar"
"libas","elbise"
"mahiyet (mant.)","tümel (küllî) bir kavramın yalnız zihindeki fertlerinin dikkate alınması durumu, birşeyin tasavvuru, “ne olduğu”; öğrenci kavramı gibi…"
"menzil","yer, mekân"
"menzilhane","hane, yer"
"merhale","derece, kademe, aşama"
"mevt","ölüm"
"meyyit","ölü"
"muhaceret-i umumî","genel göç"
"müselsel","silsile halinde, zincirleme"
"müstensih","bir nüshayı yazıp çoğaltan"
"mütemessil","yansıyan, akseden görüntü"
"müteselsil","silsile halinde, zincirleme"
"seyyiat","günahlar, kötülükler"
"şahsî","kişisel"
"şiddet-i tehalüf","büyük farklılık, aşırı değişiklik"
"telhis","birşeyi süzüp özünü alma, özetleme"
"tesir","etki"
"tezahür etmek","ortaya çıkmak, görünmek"
"Tuluât","muhtelif sorulara cevap olarak kalbe doğan fikirler anlamında Üstad Bediüzzaman’ın Eski Said dönemine ait bir eseri"
"zerrat","zerreler; hücreler, atomlar"
"menzil","yer, mekân"
"menzilhane","hane, yer"
"merhale","derece, kademe, aşama"
"mevt","ölüm"
"meyyit","ölü"
"muhaceret-i umumî","genel göç"
"müselsel","silsile halinde, zincirleme"
"müstensih","bir nüshayı yazıp çoğaltan"
"mütemessil","yansıyan, akseden görüntü"
"müteselsil","silsile halinde, zincirleme"
"seyyiat","günahlar, kötülükler"
"şahsî","kişisel"
"şiddet-i tehalüf","büyük farklılık, aşırı değişiklik"
"telhis","birşeyi süzüp özünü alma, özetleme"
"tesir","etki"
"tezahür etmek","ortaya çıkmak, görünmek"
